MUNICIPIO,LEITOS_EXISTENTES,LATITUDE,LONGITUDE
ABEL FIGUEIREDO,88,-4.953001,-48.3958485
ABELARDO LUZ,168,-26.5705893,-52.3280339
ABRE CAMPO,276,-20.295421,-42.480131
ABREU E LIMA,292,-7.900719,-34.898389
ACAILANDIA,952,-4.9515026,-47.500732
ACAJUTIBA,32,-11.6609659,-38.0186381
ACARA,132,-3.6209617,-62.3797867
ACARAU,404,-2.8869514,-40.1194713
ACARI,172,-22.8221528,-43.3406743
ACEGUA,168,-31.8695131,-54.1615593
ACOPIARA,376,-6.0936464,-39.4543204
ACRELANDIA,28,-10.0759167,-67.0526898
ACREUNA,288,-17.3959899,-50.3749031
ACU,316,-3.3537861,-60.4483111
ADAMANTINA,824,-21.6866517,-51.0762975
ADELANDIA,60,-16.4155077,-50.1665834
ADRIANOPOLIS,12,-24.6557863,-48.9912769
ADUSTINA,48,-10.5358875,-38.114479
AFOGADOS DA INGAZEIRA,817,-7.7481283,-37.6346614
AFONSO BEZERRA,64,-5.4745,-36.57625071327935
AFONSO CLAUDIO,252,-20.0744817,-41.1251335
AFONSO CUNHA,96,-4.1326105,-43.3230026
AFRANIO,160,-8.5198919,-41.0070197
AFUA,120,-0.1573523,-50.3908023
AGRESTINA,368,-8.4558021,-35.9442663
AGRICOLANDIA,60,-5.7967843,-42.6605131
AGROLANDIA,124,-27.4120688,-49.8294621
AGUA AZUL DO NORTE,160,-6.8064885,-50.4849667
AGUA BOA,428,-17.9956411,-42.3899261
AGUA BRANCA,296,-5.8913922,-42.6361148
AGUA CLARA,84,-20.4385757,-52.8797496
AGUA DOCE,124,-26.9986047,-51.5529306
AGUA FRIA,80,-11.8784691,-38.7663706
AGUA FRIA DE GOIAS,20,-14.9803368,-47.7824312
AGUA PRETA,220,-8.7079109,-35.5198586
AGUAI,96,-22.0592036,-46.979384
AGUAS BELAS,132,-9.1113156,-37.1225218
AGUAS DE LINDOIA,168,-22.4718855,-46.6291034
AGUAS FORMOSAS,264,-17.083056,-40.935555
AGUAS LINDAS DE GOIAS,192,-15.7392283,-48.2793357
AGUAS VERMELHAS,188,-15.7469091,-41.4601975
AGUDO,216,-29.6423259,-53.2494005
AGUDOS,216,-22.4719836,-48.9884476
AGUIAR,48,-7.0928404,-38.1727215
AIMORES,212,-19.4917754,-41.0615603
AIUABA,140,-6.5710836,-40.1212278
AIURUOCA,196,-21.9759554,-44.6036637
AJURICABA,200,-28.239654,-53.7693013
ALAGOA,68,-22.1697202,-44.6400042
ALAGOA GRANDE,184,-7.0415212,-35.6285322
ALAGOA NOVA,116,-7.06434685,-35.775842051108256
ALAGOINHA,136,-8.4663372,-36.7748832
ALAGOINHA DO PIAUI,48,-7.0090952,-40.939675
ALAGOINHAS,924,-12.133526,-38.420772
ALCANTARA,80,-2.4084996,-44.4174143
ALCANTIL,4,-7.7425491,-36.0609604
ALCINOPOLIS,40,-18.3264121,-53.7094463
ALCOBACA,248,-17.5215875,-39.1965474
ALDEIAS ALTAS,96,-4.6291957,-43.4708622
ALECRIM,200,-27.6566142,-54.7653195
ALEGRE,192,-20.75974435,-41.53150496592113
ALEGRETE,760,-29.790166,-55.794862
ALEM PARAIBA,392,-21.8760576,-42.6810473
ALENQUER,420,-1.946229,-54.738355
ALEXANDRIA,448,-6.414779,-38.0135516
ALEXANIA,136,-16.0834049,-48.5077803
ALFENAS,1576,-21.4297405,-45.9479419
ALFREDO WAGNER,112,-27.6961513,-49.3326734
ALHANDRA,40,-7.4304246,-34.9106103
ALIANCA,104,-7.6026425,-35.2263514
ALMEIRIM,428,-1.5290377,-52.5788111
ALMENARA,364,-16.1753775,-40.6916675
ALMINO AFONSO,200,-6.1544208,-37.7649018
ALOANDIA,56,-17.7277983,-49.4809338
ALPESTRE,92,-27.2512339,-53.0349646
ALPINOPOLIS,176,-20.863611,-46.387777
ALTA FLORESTA,888,-9.8698547,-56.0834993
ALTA FLORESTA D'OESTE,228,-11.9296917,-61.9961284
ALTAMIRA,1020,-3.204065,-52.209961
ALTAMIRA DO PARANA,76,-24.798939,-52.7132201
ALTANEIRA,76,-6.9980933,-39.7385742
ALTEROSA,104,-21.249166,-46.143055
ALTINHO,96,-8.4904095,-36.0607494
ALTINOPOLIS,84,-21.021364,-47.3712
ALTO ALEGRE,212,-21.5820592,-50.1661976
ALTO ALEGRE DO MARANHAO,264,-4.2055693,-44.4525287
ALTO ALEGRE DO PINDARE,200,-3.6698186,-45.8462153
ALTO ALEGRE DOS PARECIS,104,-12.1314515,-61.856265
ALTO ARAGUAIA,350,-17.3156528,-53.2169365
ALTO DO RODRIGUES,84,-5.290868,-36.7616726
ALTO HORIZONTE,96,-14.1954948,-49.3366993
ALTO LONGA,60,-5.2549051,-42.2072388
ALTO PARAISO,64,-23.508137,-53.728537
ALTO PARAISO DE GOIAS,48,-14.1304779,-47.5100161
ALTO PARANA,80,-23.131247,-52.318893
ALTO PARNAIBA,124,-9.112506,-45.9310154
ALTO RIO DOCE,76,-21.0239537,-43.4133507
ALTO SANTO,124,-5.5190371,-38.2719351
ALTO TAQUARI,80,-17.8269099,-53.2831736
ALTONIA,156,-23.8722004,-53.894037
ALTOS,152,-5.0393915,-42.4611694
ALVARAES,160,-3.2155787,-64.8148327
ALVARES MACHADO,72,-22.076415,-51.47224
ALVINOPOLIS,140,-20.1105199,-43.0601805
ALVORADA,620,-29.9981184,-51.0772509
ALVORADA D'OESTE,140,-11.346271,-62.284697
ALVORADA DO NORTE,128,-14.483911,-46.4959897
ALVORADA DO SUL,80,-22.7807269,-51.2307721
AMAMBAI,352,-23.1082701,-55.2284854
AMAPA,148,1.3545442,-51.9161977
AMAPA DO MARANHAO,44,-1.6762114,-46.0109669
AMAPORA,56,-23.094272,-52.786597
AMARAJI,124,-8.373925,-35.4536527
AMARANTE,158,-6.2459374,-42.8476238
AMARANTE DO MARANHAO,296,-5.56913,-46.747284
AMARGOSA,280,-13.0302189,-39.6040692
AMATURA,132,-3.3640509,-68.1994689
AMELIA RODRIGUES,64,-12.4015388,-38.7516971
AMERICA DOURADA,104,-11.4515262,-41.4357517
AMERICANA,2093,-22.7392463,-47.3306032
AMERICANO DO BRASIL,68,-16.2515808,-49.9806104
AMERICO BRASILIENSE,1044,-21.7297099,-48.1052092
AMETISTA DO SUL,128,-27.3617341,-53.1826575
AMONTADA,166,-3.3634586,-39.8284791
AMORINOPOLIS,48,-16.6211308,-51.0949921
AMPARO,1536,-22.70111,-46.76444
AMPERE,140,-25.9168712,-53.4742414
ANADIA,100,-9.6830208,-36.3052699
ANAGE,132,-14.6134669,-41.1376308
ANAJAS,84,-5.702447,-47.7752322
ANAJATUBA,100,-3.26441,-44.6179916
ANAMA,80,-3.5797356,-61.4049996
ANANAS,80,3.8990333,-61.4310717
ANANINDEUA,4067,-1.374035,-48.4016623
ANAPOLIS,4352,-16.3332828,-48.9525756
ANAPU,168,-3.4668292,-51.2057035
ANAPURUS,104,-3.6751298,-43.1046001
ANASTACIO,100,-20.4832458,-55.8048448
ANAURILANDIA,48,-22.185169,-52.719056
ANCHIETA,254,-20.8057672,-40.6454564
ANDARAI,128,-12.8059674,-41.3322919
ANDIRA,248,-23.0494761,-50.2310027
ANDORINHA,88,-10.3445708,-39.8334411
ANDRADAS,208,-22.0693412,-46.5707584
ANDRADINA,468,-20.896505,-51.3742765
ANDRELANDIA,216,-21.739722,-44.308889
ANGATUBA,228,-23.4938938,-48.4110675
ANGELICA,108,-22.1588196,-53.7728504
ANGELIM,48,-8.8902038,-36.2872987
ANGELINA,180,-27.5805287,-48.9838759
ANGICAL,24,-12.005623,-44.7000236
ANGICAL DO PIAUI,44,-6.0872666,-42.7366138
ANGICOS,116,-5.6666344,-36.6009064
ANGRA DOS REIS,1308,-23.155540549999998,-44.23448088153183
ANGUERA,48,-12.1512742,-39.2457485
ANICUNS,84,-16.4606451,-49.9572265
ANISIO DE ABREU,40,-9.183959,-43.049115
ANITA GARIBALDI,156,-27.6855032,-51.1293873
ANITAPOLIS,180,-27.9041185,-49.1287395
ANORI,128,-3.7435254,-61.6605203
ANTA GORDA,152,-28.9718745,-52.0069187
ANTAS,520,-10.4114649,-38.3308815
ANTONINA,128,-25.4298854,-48.7125431
ANTONINA DO NORTE,64,-6.7756797,-39.9873337
ANTONIO CARLOS,52,-21.318334,-43.746666
ANTONIO JOAO,40,-22.1892837,-55.9508227
ANTONIO MARTINS,132,-6.2155812,-37.8890129
ANTONIO OLINTO,8,-25.9849006,-50.1974516
ANTONIO PRADO,204,-28.8567806,-51.2801355
APARECIDA,404,-22.851552,-45.2340924
APARECIDA D'OESTE,56,-20.4498109,-50.8808706
APARECIDA DE GOIANIA,5572,-16.8226769,-49.2452546
APARECIDA DO TABOADO,152,-20.0840304,-51.1013943
APERIBE,140,-21.6211928,-42.1028167
APIACA,10,-21.152272,-41.569297
APIACAS,128,-9.5678422,-57.394852
APIAI,204,-24.5076527,-48.8461582
APICUM-ACU,64,-1.5279295,-45.082278
APODI,284,-5.6631109,-37.796927
APORA,4,-11.6599747,-38.0794757
APORE,76,-18.9642193,-51.92804
APUCARANA,1244,-23.5525327,-51.4610764
APUI,172,-7.1940195,-59.8830192
APUIARES,52,-3.9460303,-39.4313298
AQUIDABA,128,-7.4567249,-73.3657645
AQUIDAUANA,688,-20.473969,-55.7821375
AQUIRAZ,732,-3.9063117,-38.387504
ARABUTA,96,-27.1587028,-52.1438142
ARACAGI,8,-6.8519969,-35.3835602
ARACAJU,10539,-10.9162061,-37.0774655
ARACAS,92,-12.2126783,-38.2006231
ARACATI,537,-4.558259,-37.767894
ARACATU,132,-14.4274236,-41.4604105
ARACATUBA,1988,-21.207992,-50.4390225
ARACI,192,-11.3390214,-38.9586849
ARACOIABA,328,-4.3702577,-38.8084313
